"province","<20","20-60",">60","total","PROV_CODE","PROV_NAME","clean-name","fid"
"ทั่วราชอาณาจักร",14709329,38664947,11633188,66186727,,,,
"กรุงเทพมหานคร",1058164,3269617,1108912,5588222,"10","BANGKOK","BANGKOK",1
"ภาคกลาง",3767547,10136304,3005542,17255105,,,,
"สมุทรปราการ",293327,818770,214241,1351479,"11","SAMUT PRAKAN","SAMUTPRAKAN",2
"นนทบุรี",249192,765766,239510,1276745,"12","NONTHABURI","NONTHABURI",3
"ปทุมธานี",261017,724780,175360,1176412,"13","PATHUM THANI","PATHUMTHANI",4
"พระนครศรีอยุธยา",175590,484196,155143,819088,"14","PHRA NAKHON SI AYUTTHAYA","PHRANAKHONSIAYUTTHAYA",5
"อ่างทอง",55286,158028,62315,276584,"15","ANG THONG","ANGTHONG",6
"ลพบุรี",152305,437722,146807,742928,"16","LOP BURI","LOPBURI",7
"สิงห์บุรี",39618,115775,49921,205898,"17","SING BURI","SINGBURI",8
"ชัยนาท",63390,183440,74901,322477,"18","CHAI NAT","CHAINAT",9
"สระบุรี",143452,378901,112257,643828,"19","SARABURI","SARABURI",10
"ชลบุรี",377493,938836,216726,1566885,"20","CHON BURI","CHONBURI",11
"ระยอง",183262,447725,99566,741524,"21","RAYONG","RAYONG",12
"จันทบุรี",118345,312277,99809,535559,"22","CHANTHABURI","CHANTHABURI",13
"ตราด",49227,127773,41300,228536,"23","TRAT","TRAT",14
"ฉะเชิงเทรา",164765,423293,126675,720718,"24","CHACHOENGSAO","CHACHOENGSAO",15
"ปราจีนบุรี",113724,293265,84339,493670,"25","PRACHIN BURI","PRACHINBURI",16
"นครนายก",56325,149055,52395,260081,"26","NAKHON NAYOK","NAKHONNAYOK",17
"สระแก้ว",137028,332187,86405,560925,"27","SA KAEO","SAKAEO",18
"ราชบุรี",180988,492614,167016,869313,"70","RATCHABURI","RATCHABURI",56
"กาญจนบุรี",193421,480638,137572,891976,"71","KANCHANABURI","KANCHANABURI",57
"สุพรรณบุรี",175424,483519,175302,838628,"72","SUPHAN BURI","SUPHANBURI",58
"นครปฐม",195815,547085,164646,920729,"73","NAKHON PATHOM","NAKHONPATHOM",59
"สมุทรสาคร",125202,332269,91464,586199,"74","SAMUT SAKHON","SAMUTSAKHON",60
"สมุทรสงคราม",36022,109368,44569,192052,"75","SAMUT SONGKHRAM","SAMUTSONGKHRAM",61
"เพชรบุรี",102363,280466,93990,482193,"76","PHETCHABURI","PHETCHABURI",62
"ประจวบคีรีขันธ์",124966,318556,93313,550678,"77","PRACHUAP KHIRI KHAN","PRACHUAPKHIRIKHAN",63
"ภาคเหนือ",2415822,6720480,2390951,12027271,,,,
"เชียงใหม่",339501,933947,349970,1784370,"50","CHIANG MAI","CHIANGMAI",39
"ลำพูน",70510,231147,96805,402011,"51","LAMPHUN","LAMPHUN",40
"ลำปาง",119321,427957,177899,728964,"52","LAMPANG","LAMPANG",41
"อุตรดิตถ์",86477,261172,99336,448745,"53","UTTARADIT","UTTARADIT",42
"แพร่",73886,257165,104954,437350,"54","PHRAE","PHRAE",43
"น่าน",94614,281559,98389,476727,"55","NAN","NAN",44
"พะเยา",82846,276970,104517,467356,"56","PHAYAO","PHAYAO",45
"เชียงราย",251578,676593,238087,1295026,"57","CHIANG RAI","CHIANGRAI",46
"แม่ฮ่องสอน",70355,135344,34458,284549,"58","MAE HONG SON","MAEHONGSON",47
"นครสวรรค์",214800,602818,218041,1040308,"60","NAKHON SAWAN","NAKHONSAWAN",48
"อุทัยธานี",71292,186252,67296,325868,"61","UTHAI THANI","UTHAITHANI",49
"กำแพงเพชร",160128,419316,131769,714118,"62","KAMPHAENG PHET","KAMPHAENGPHET",50
"ตาก",163196,298637,79826,670265,"63","TAK","TAK",51
"สุโขทัย",117225,345008,124307,587883,"64","SUKHOTHAI","SUKHOTHAI",52
"พิษณุโลก",176607,501053,167018,849481,"65","PHITSANULOK","PHITSANULOK",53
"พิจิตร",109304,306589,113617,532310,"66","PHICHIT","PHICHIT",54
"เพชรบูรณ์",214182,578953,184662,981940,"67","PHETCHABUN","PHETCHABUN",55
